100	0.455009	0.395948
150	0.528363	0.454175
200	0.580533	0.496202
250	0.620064	0.528767
300	0.6513	0.555147
400	0.6979	0.596007
500	0.731411	0.626803
600	0.756816	0.651227
700	0.776884	0.671292
800	0.793196	0.688196
900	0.806774	0.702718
1000	0.818277	0.715384
1100	0.82817	0.72657
1200	0.836792	0.736551
1300	0.84438	0.745532
1400	0.851122	0.753675
1500	0.857154	0.761103
1600	0.862601	0.76792
1700	0.867541	0.774204
1800	0.872044	0.780023
1900	0.876171	0.785433
2000	0.879967	0.790479
